id,word,category,origin_language,priority,hook
19,alcohol,arabic_loanword,arabic,10,"From Arabic 'al-kuhl' — originally a finely powdered antimony eye makeup. The meaning drifted through 'any fine essence' to 'distilled spirit'."
20,assassin,arabic_loanword,arabic,10,"From Arabic 'hashashin' — a medieval Persian Shia sect whose members were rumored, perhaps unfairly, to use hashish before political killings."
21,checkmate,persian,persian,10,"From Persian 'shah mat' — 'the king is helpless'. Arrived in Europe through Arabic and medieval chess."
22,paradise,persian,persian,10,"From Old Persian 'pairi-daeza' — 'walled enclosure'. Originally a royal garden, then absorbed by Greek and used to translate the Garden of Eden."
23,zero,arabic_loanword,arabic,15,"From Arabic 'sifr' — meaning 'empty'. The same word gave us 'cipher'. The concept and the digit reached Europe from India via Baghdad."
24,magazine,arabic_loanword,arabic,15,"From Arabic 'makhzan' — storehouse. A military magazine stored gunpowder; a print magazine 'stored' articles."
25,mortgage,latin_root,french,10,"Old French 'mort gage' — 'death pledge'. The pledge dies either when the debt is paid or when the property is forfeited."
26,window,compound_hidden,old_norse,10,"From Old Norse 'vindauga' — literally 'wind-eye'. Pre-glass windows were just openings the wind blew through."
27,lord,compound_hidden,old_english,10,"From 'hlaford' — 'hlaf' (loaf) + 'weard' (keeper). The lord was the one who provided the bread to his household."
28,lady,compound_hidden,old_english,10,"From 'hlaefdige' — 'loaf-kneader'. Matched to 'lord' (loaf-keeper). The household's bread economy is buried in both words."
29,galaxy,greek_myth,greek,10,"From Greek 'galaxias' — 'milky'. In myth, the Milky Way was spilled breast milk from the goddess Hera."
30,goodbye,contraction,english,15,"A 16th century contraction of 'God be with ye'. The 'good' is a corruption pulled in from 'good day' and 'good night'."
31,handicap,gambling,english,15,"From 'hand in cap' — a 17th century English wagering game where players put forfeit money in a cap to equalize a trade. Spread to horse racing, then to disability."
32,jeans,placename,italian,15,"From 'Genoa' — sturdy cotton trousers worn by Genoese sailors. French sailors called them 'bleu de Gênes'."
33,tuxedo,placename,american,15,"From Tuxedo Park, NY — a wealthy 1880s resort club where members popularized a shorter dinner jacket instead of tails."
34,silhouette,eponym,french,15,"Étienne de Silhouette was a French finance minister in 1759 whose austerity measures were so stingy that cheap profile-cutouts on paper were mockingly named after him."
35,guillotine,eponym,french,10,"Joseph-Ignace Guillotin didn't invent the device — he just proposed using a beheading machine as a humane, egalitarian execution. The name stuck to his lasting dismay."
36,nicotine,eponym,french,15,"After Jean Nicot, French ambassador to Portugal in 1560, who sent tobacco seeds to the French queen as a headache cure."
37,sideburns,eponym_inverted,english,15,"Union General Ambrose Burnside (US Civil War) wore distinctive face-hugging whiskers. 'Burnsides' got inverted to 'sideburns' over a century."
38,mesmerize,eponym,french,15,"After Franz Mesmer, 18th century physician who claimed 'animal magnetism' could heal. His public trances gave us the word."
39,saxophone,eponym,french,15,"Belgian instrument maker Adolphe Sax patented it in 1846 — the saxophone is literally 'Sax's phone'."
40,malaria,folk_medicine,italian,10,"From Italian 'mala aria' — 'bad air'. For centuries people blamed the disease on swampy night vapors, not the mosquito carrying it."
41,influenza,astrological,italian,10,"Italians blamed the disease on the 'influence' of the stars. 'Influenza di stelle' shortened to 'influenza'."
42,vaccine,medical,latin,15,"Edward Jenner used cowpox to inoculate against smallpox. Latin 'vacca' means cow — every modern vaccine still wears that origin."
43,muscle,latin_root,latin,15,"From Latin 'musculus' — 'little mouse'. Romans thought a flexed bicep looked like a mouse running under the skin."
44,avocado,native_american,nahuatl,15,"From Nahuatl 'āhuacatl' — also their word for testicle, after the fruit's shape and habit of growing in pairs."
45,orchid,greek,greek,15,"From Greek 'orkhis' — testicle. The flower's twin underground tubers reminded ancient botanists of anatomy."
46,orange,n_shift,arabic,15,"Arabic 'nāranj' came through Old French as 'norange'. 'A norange' got misheard as 'an orange' and the 'n' was lost forever."
47,apron,n_shift,french,15,"Originally 'napron' (a small cloth). 'A napron' got misanalyzed as 'an apron' in Middle English — same fate as orange."
48,umpire,n_shift,french,15,"Old French 'noumpere' — 'not a peer', meaning a neutral third party. 'A noumpere' became 'an oumpere' became 'umpire'."
49,nickname,n_shift_reverse,english,15,"From 'an ekename' — 'eke' meaning additional. 'An ekename' got reanalyzed as 'a nekename' and the 'n' migrated leftward."
50,lukewarm,redundant_compound,middle_english,20,"'Luke' is itself an old word for tepid. 'Lukewarm' means 'warm-warm' — a redundancy nobody notices."
51,dandelion,foreign_phrase,french,15,"From French 'dent de lion' — 'tooth of the lion', after the jagged leaves. Compressed to one word in English."
52,honeymoon,folk_metaphor,old_english,15,"Originally bitter: the sweetness of new marriage was likened to honey, but expected to wane like the moon. Now stripped of its warning."
53,blackmail,medieval,scottish,15,"From Scottish border raiders' 'black rent' — protection money paid by farmers to chieftains. 'Mail' meant payment in Old English."
54,sincere,folk_etymology,latin,20,"Folk etymology says 'sine cera' — without wax — from sculptors filling cracks. Linguists doubt this, but the story is too good to die."
55,ostracize,greek_democracy,greek,10,"In 5th century BC Athens, citizens scratched names on broken pottery shards — 'ostraka' — to vote dangerous men into exile."
56,decimate,military_roman,latin,10,"Roman generals punished mutinous legions by killing one in ten — chosen by lot, beaten to death by the other nine. Literally 'decimation'."
57,precarious,latin_root,latin,15,"From Latin 'precari' — to pray. A precarious holding was one you possessed only by another's prayer-like sufferance."
58,nice,semantic_shift,latin,10,"From Latin 'nescius' — ignorant. The word traveled through 'foolish', then 'fastidious', then 'agreeable' to today's 'pleasant'."
59,silly,semantic_shift,old_english,15,"From 'saelig' — blessed, happy. Drifted to 'innocent' to 'naive' to 'foolish' over a thousand years."
60,awful,semantic_shift,old_english,15,"Once 'full of awe' — used for things that inspired reverence. The 18th century flipped it to mean dreadful."
61,terrific,semantic_shift,latin,15,"Originally 'causing terror'. The cheerful modern meaning is a 20th century inversion that almost nobody notices."
62,enthusiasm,greek_religious,greek,15,"From Greek 'en-theos' — 'god within'. Originally meant religious possession; the Enlightenment downgraded it to mere zeal."
63,fanatic,latin_religious,latin,15,"From Latin 'fanum' — temple. A fanatic was someone inspired (or maddened) by a god while inside a temple."
64,genius,roman_religious,latin,15,"In Roman belief, every person had a 'genius' — a guardian spirit assigned at birth. Only later did the word mean brilliance."
65,robot,literary_coinage,czech,10,"Coined by Karel Čapek's 1920 play R.U.R. — from Czech 'robota' meaning forced labor. His brother actually invented the word."
66,zombie,west_african,kongo,15,"From West African 'nzambi' — god or spirit — via Haitian Vodou into 1920s American horror cinema."
67,taboo,polynesian,tongan,15,"From Tongan 'tabu' — sacred, forbidden, untouchable. Captain Cook brought it back to Europe in 1777."
68,shampoo,hindi_loanword,hindi,15,"From Hindi 'chāmpo' — meaning 'to press, knead' — the head massage offered in Indian bathhouses. British colonists Anglicized it."
69,juggernaut,hindi_loanword,sanskrit,10,"From Sanskrit 'Jagannātha' — Lord of the World, a form of Krishna. British observers wrongly believed worshippers threw themselves under the festival cart."
70,avatar,sanskrit_loanword,sanskrit,15,"From Sanskrit 'avatāra' — 'descent'. A god's descent to earth in physical form. The internet borrowed it for our digital descents."
71,pajamas,persian,persian,15,"From Persian 'pāy-jāmah' — 'leg garment'. Loose trousers worn in South Asia, adopted by British colonists for sleepwear."
72,bungalow,hindi_loanword,bengali,15,"From Bengali 'bāṅglā' — 'in the Bengali style'. A one-storey thatched house British colonists copied across the empire."
73,loot,hindi_loanword,hindi,15,"From Hindi 'lūṭ' — plunder. Picked up by British soldiers during the East India Company campaigns."
74,guru,sanskrit_loanword,sanskrit,15,"From Sanskrit 'guru' — heavy, weighty, venerable. The teacher heavy with knowledge."
75,nirvana,sanskrit_loanword,sanskrit,15,"From Sanskrit 'nirvāṇa' — 'blowing out', as of a flame. The extinguishing of desire — not bliss, but cessation."
76,typhoon,convergent,greek_chinese,15,"Two roots merged: Greek 'tuphōn' (whirlwind, also a monster) and Chinese 'tai fung' (great wind). English absorbed both into one word."
77,hurricane,native_american,taino,10,"From Taino 'huracán' — the storm god of the Caribbean. Spanish conquistadors carried the word back to Europe in the 1500s."
78,chocolate,native_american,nahuatl,10,"From Nahuatl 'xocolātl' — likely 'bitter water'. Pre-Columbian Aztecs drank it unsweetened and spiced; Europeans added sugar later."
79,coyote,native_american,nahuatl,15,"From Nahuatl 'coyōtl'. Spanish colonists carried it north; English picked it up unchanged."
80,canoe,native_american,taino,15,"From Taino 'canoa' — one of the first Caribbean words Columbus's crew brought home in 1492."
81,lunatic,astrological,latin,15,"From Latin 'lunaticus' — 'moonstruck'. People genuinely believed the moon's phases caused episodic madness."
82,saturnine,astrological,latin,20,"Born under Saturn was to be gloomy, slow, brooding — astrology shaped European personality vocabulary for centuries."
83,mercurial,astrological,latin,20,"Mercury's planet ruled quick wit and quicker temper. The metal that flowed at room temperature reinforced the metaphor."
84,jovial,astrological,latin,20,"Born under Jupiter (Jove) was to be cheerful and expansive — the king-planet's lucky influence."
85,martial,astrological,latin,20,"Mars ruled soldiers and war. To be martial was to be governed by the red planet."
86,narcissism,greek_myth,greek,15,"From Narcissus, the young man who fell in love with his own reflection in a pool and could not look away until he died."
87,herculean,greek_myth,greek,15,"From Hercules, whose mythological twelve labors — each meant to be impossible — gave us the adjective for any monstrous task."
88,mentor,greek_myth,greek,15,"From Mentor, the trusted advisor Odysseus left in charge of his son Telemachus. The character's name became the role."
89,odyssey,greek_myth,greek,15,"From Odysseus's ten-year journey home from Troy. Any long, transformative trip now borrows his name."
90,arctic,greek,greek,15,"From Greek 'arktos' — bear. Named for the constellation Ursa Major hanging permanently in the northern sky."
91,cosmos,greek,greek,15,"Greek 'kosmos' — order, arrangement. To call the universe a cosmos is to assert it isn't chaos."
92,chaos,greek_myth,greek,15,"In Hesiod, Chaos was the primordial yawning void from which everything emerged. Modern usage flattened it to mere disorder."
93,drama,greek,greek,20,"From Greek 'dran' — to do, to act. Drama was literally 'something done', as opposed to merely narrated."
94,theater,greek,greek,20,"From Greek 'theatron' — 'a place for seeing'. The architecture defined the artform."
95,sabotage,industrial,french,15,"From French 'sabot' — wooden clog. Disgruntled workers reportedly hurled them into machinery; whether literally or not, the word stuck."
96,android,greek_compound,greek,15,"From Greek 'andros' (man) + 'eidos' (form). Coined in the 18th century for human-shaped automatons long before electronics."
97,gym,greek,greek,20,"From Greek 'gymnasion' — 'place to be naked'. Ancient Greek athletes trained without clothes."
98,academy,greek,greek,20,"After Akademos, the Greek hero whose grove of olive trees outside Athens became Plato's school site."
99,sarcophagus,greek_compound,greek,15,"Greek 'sarx' (flesh) + 'phagein' (to eat). Made of a limestone that was believed to consume the corpse inside."
100,butterfly,folk_etymology,old_english,20,"Old English 'buterfleoge'. The folk theory: yellow butterflies were thought to steal milk and butter from open dairies."
