id,word,category,origin_language,priority,hook
21,checkmate,persian,persian,5,From Persian 'shah mat' — 'the king is helpless'. Arrived in Europe through Arabic and medieval chess.
22,paradise,persian,persian,5,"From Old Persian 'pairi-daeza' — 'walled enclosure'. Originally a royal garden, then absorbed by Greek and used to translate the Garden of Eden."
23,zero,arabic_loanword,arabic,5,From Arabic 'sifr' — meaning 'empty'. The same word gave us 'cipher'. The concept and the digit reached Europe from India via Baghdad.
24,magazine,arabic_loanword,arabic,10,From Arabic 'makhzan' — storehouse. A military magazine stored gunpowder; a print magazine 'stored' articles.
25,mortgage,latin_root,french,10,Old French 'mort gage' — 'death pledge'. The pledge dies either when the debt is paid or when the property is forfeited.
26,window,compound_hidden,old_norse,10,From Old Norse 'vindauga' — literally 'wind-eye'. Pre-glass windows were just openings the wind blew through.
27,lord,compound_hidden,old_english,10,From 'hlaford' — 'hlaf' (loaf) + 'weard' (keeper). The lord was the one who provided the bread to his household.
28,lady,compound_hidden,old_english,10,From 'hlaefdige' — 'loaf-kneader'. Matched to 'lord' (loaf-keeper). The household's bread economy is buried in both words.
29,galaxy,greek_myth,greek,5,"From Greek 'galaxias' — 'milky'. In myth, the Milky Way was spilled breast milk from the goddess Hera."
30,goodbye,contraction,english,5,A 16th century contraction of 'God be with ye'. The 'good' is a corruption pulled in from 'good day' and 'good night'.
31,handicap,gambling,english,10,"From 'hand in cap' — a 17th century English wagering game where players put forfeit money in a cap to equalize a trade. Spread to horse racing, then to disability."
32,jeans,placename,italian,10,From 'Genoa' — sturdy cotton trousers worn by Genoese sailors. French sailors called them 'bleu de Gênes'.
33,tuxedo,placename,american,10,"From Tuxedo Park, NY — a wealthy 1880s resort club where members popularized a shorter dinner jacket instead of tails."
34,silhouette,eponym,french,10,Étienne de Silhouette was a French finance minister in 1759 whose austerity measures were so stingy that cheap profile-cutouts on paper were mockingly named after him.
35,guillotine,eponym,french,10,"Joseph-Ignace Guillotin didn't invent the device — he just proposed using a beheading machine as a humane, egalitarian execution. The name stuck to his lasting dismay."
36,nicotine,eponym,french,5,"After Jean Nicot, French ambassador to Portugal in 1560, who sent tobacco seeds to the French queen as a headache cure."
37,sideburns,eponym_inverted,english,10,Union General Ambrose Burnside (US Civil War) wore distinctive face-hugging whiskers. 'Burnsides' got inverted to 'sideburns' over a century.
38,mesmerize,eponym,french,10,"After Franz Mesmer, 18th century physician who claimed 'animal magnetism' could heal. His public trances gave us the word."
39,saxophone,eponym,french,10,Belgian instrument maker Adolphe Sax patented it in 1846 — the saxophone is literally 'Sax's phone'.
40,malaria,folk_medicine,italian,10,"From Italian 'mala aria' — 'bad air'. For centuries people blamed the disease on swampy night vapors, not the mosquito carrying it."
41,influenza,astrological,italian,10,Italians blamed the disease on the 'influence' of the stars. 'Influenza di stelle' shortened to 'influenza'.
42,vaccine,medical,latin,5,Edward Jenner used cowpox to inoculate against smallpox. Latin 'vacca' means cow — every modern vaccine still wears that origin.
43,muscle,latin_root,latin,10,From Latin 'musculus' — 'little mouse'. Romans thought a flexed bicep looked like a mouse running under the skin.
44,avocado,native_american,nahuatl,5,"From Nahuatl 'āhuacatl' — also their word for testicle, after the fruit's shape and habit of growing in pairs."
45,orchid,greek,greek,10,From Greek 'orkhis' — testicle. The flower's twin underground tubers reminded ancient botanists of anatomy.
46,orange,n_shift,arabic,10,Arabic 'nāranj' came through Old French as 'norange'. 'A norange' got misheard as 'an orange' and the 'n' was lost forever.
47,apron,n_shift,french,10,Originally 'napron' (a small cloth). 'A napron' got misanalyzed as 'an apron' in Middle English — same fate as orange.
48,umpire,n_shift,french,10,"Old French 'noumpere' — 'not a peer', meaning a neutral third party. 'A noumpere' became 'an oumpere' became 'umpire'."
49,nickname,n_shift_reverse,english,10,From 'an ekename' — 'eke' meaning additional. 'An ekename' got reanalyzed as 'a nekename' and the 'n' migrated leftward.
50,lukewarm,redundant_compound,middle_english,20,'Luke' is itself an old word for tepid. 'Lukewarm' means 'warm-warm' — a redundancy nobody notices.
51,dandelion,foreign_phrase,french,10,"From French 'dent de lion' — 'tooth of the lion', after the jagged leaves. Compressed to one word in English."
52,honeymoon,folk_metaphor,old_english,10,"Originally bitter: the sweetness of new marriage was likened to honey, but expected to wane like the moon. Now stripped of its warning."
53,blackmail,medieval,scottish,10,From Scottish border raiders' 'black rent' — protection money paid by farmers to chieftains. 'Mail' meant payment in Old English.
54,sincere,folk_etymology,latin,20,"Folk etymology says 'sine cera' — without wax — from sculptors filling cracks. Linguists doubt this, but the story is too good to die."
55,ostracize,greek_democracy,greek,5,"In 5th century BC Athens, citizens scratched names on broken pottery shards — 'ostraka' — to vote dangerous men into exile."
56,decimate,military_roman,latin,5,"Roman generals punished mutinous legions by killing one in ten — chosen by lot, beaten to death by the other nine. Literally 'decimation'."
57,precarious,latin_root,latin,10,From Latin 'precari' — to pray. A precarious holding was one you possessed only by another's prayer-like sufferance.
58,nice,semantic_shift,latin,5,"From Latin 'nescius' — ignorant. The word traveled through 'foolish', then 'fastidious', then 'agreeable' to today's 'pleasant'."
59,silly,semantic_shift,old_english,10,"From 'saelig' — blessed, happy. Drifted to 'innocent' to 'naive' to 'foolish' over a thousand years."
60,awful,semantic_shift,old_english,10,Once 'full of awe' — used for things that inspired reverence. The 18th century flipped it to mean dreadful.
61,terrific,semantic_shift,latin,10,Originally 'causing terror'. The cheerful modern meaning is a 20th century inversion that almost nobody notices.
62,enthusiasm,greek_religious,greek,10,From Greek 'en-theos' — 'god within'. Originally meant religious possession; the Enlightenment downgraded it to mere zeal.
63,fanatic,latin_religious,latin,10,From Latin 'fanum' — temple. A fanatic was someone inspired (or maddened) by a god while inside a temple.
64,genius,roman_religious,latin,10,"In Roman belief, every person had a 'genius' — a guardian spirit assigned at birth. Only later did the word mean brilliance."
65,robot,literary_coinage,czech,5,Coined by Karel Čapek's 1920 play R.U.R. — from Czech 'robota' meaning forced labor. His brother actually invented the word.
66,zombie,west_african,kongo,5,From West African 'nzambi' — god or spirit — via Haitian Vodou into 1920s American horror cinema.
67,taboo,polynesian,tongan,10,"From Tongan 'tabu' — sacred, forbidden, untouchable. Captain Cook brought it back to Europe in 1777."
68,shampoo,hindi_loanword,hindi,5,"From Hindi 'chāmpo' — meaning 'to press, knead' — the head massage offered in Indian bathhouses. British colonists Anglicized it."
69,juggernaut,hindi_loanword,sanskrit,5,"From Sanskrit 'Jagannātha' — Lord of the World, a form of Krishna. British observers wrongly believed worshippers threw themselves under the festival cart."
70,avatar,sanskrit_loanword,sanskrit,10,From Sanskrit 'avatāra' — 'descent'. A god's descent to earth in physical form. The internet borrowed it for our digital descents.
71,pajamas,persian,persian,10,"From Persian 'pāy-jāmah' — 'leg garment'. Loose trousers worn in South Asia, adopted by British colonists for sleepwear."
72,bungalow,hindi_loanword,bengali,10,From Bengali 'bāṅglā' — 'in the Bengali style'. A one-storey thatched house British colonists copied across the empire.
73,loot,hindi_loanword,hindi,10,From Hindi 'lūṭ' — plunder. Picked up by British soldiers during the East India Company campaigns.
74,guru,sanskrit_loanword,sanskrit,10,"From Sanskrit 'guru' — heavy, weighty, venerable. The teacher heavy with knowledge."
75,nirvana,sanskrit_loanword,sanskrit,10,"From Sanskrit 'nirvāṇa' — 'blowing out', as of a flame. The extinguishing of desire — not bliss, but cessation."
76,typhoon,convergent,greek_chinese,10,"Two roots merged: Greek 'tuphōn' (whirlwind, also a monster) and Chinese 'tai fung' (great wind). English absorbed both into one word."
77,hurricane,native_american,taino,5,From Taino 'huracán' — the storm god of the Caribbean. Spanish conquistadors carried the word back to Europe in the 1500s.
78,chocolate,native_american,nahuatl,5,From Nahuatl 'xocolātl' — likely 'bitter water'. Pre-Columbian Aztecs drank it unsweetened and spiced; Europeans added sugar later.
79,coyote,native_american,nahuatl,10,From Nahuatl 'coyōtl'. Spanish colonists carried it north; English picked it up unchanged.
80,canoe,native_american,taino,10,From Taino 'canoa' — one of the first Caribbean words Columbus's crew brought home in 1492.
81,lunatic,astrological,latin,10,From Latin 'lunaticus' — 'moonstruck'. People genuinely believed the moon's phases caused episodic madness.
82,saturnine,astrological,latin,20,"Born under Saturn was to be gloomy, slow, brooding — astrology shaped European personality vocabulary for centuries."
83,mercurial,astrological,latin,20,Mercury's planet ruled quick wit and quicker temper. The metal that flowed at room temperature reinforced the metaphor.
84,jovial,astrological,latin,20,Born under Jupiter (Jove) was to be cheerful and expansive — the king-planet's lucky influence.
85,martial,astrological,latin,20,Mars ruled soldiers and war. To be martial was to be governed by the red planet.
86,narcissism,greek_myth,greek,5,"From Narcissus, the young man who fell in love with his own reflection in a pool and could not look away until he died."
87,herculean,greek_myth,greek,5,"From Hercules, whose mythological twelve labors — each meant to be impossible — gave us the adjective for any monstrous task."
88,mentor,greek_myth,greek,5,"From Mentor, the trusted advisor Odysseus left in charge of his son Telemachus. The character's name became the role."
89,odyssey,greek_myth,greek,5,"From Odysseus's ten-year journey home from Troy. Any long, transformative trip now borrows his name."
90,arctic,greek,greek,10,From Greek 'arktos' — bear. Named for the constellation Ursa Major hanging permanently in the northern sky.
91,cosmos,greek,greek,5,"Greek 'kosmos' — order, arrangement. To call the universe a cosmos is to assert it isn't chaos."
92,chaos,greek_myth,greek,10,"In Hesiod, Chaos was the primordial yawning void from which everything emerged. Modern usage flattened it to mere disorder."
93,drama,greek,greek,20,"From Greek 'dran' — to do, to act. Drama was literally 'something done', as opposed to merely narrated."
94,theater,greek,greek,20,From Greek 'theatron' — 'a place for seeing'. The architecture defined the artform.
95,sabotage,industrial,french,10,"From French 'sabot' — wooden clog. Disgruntled workers reportedly hurled them into machinery; whether literally or not, the word stuck."
96,android,greek_compound,greek,10,From Greek 'andros' (man) + 'eidos' (form). Coined in the 18th century for human-shaped automatons long before electronics.
97,gym,greek,greek,20,From Greek 'gymnasion' — 'place to be naked'. Ancient Greek athletes trained without clothes.
98,academy,greek,greek,20,"After Akademos, the Greek hero whose grove of olive trees outside Athens became Plato's school site."
99,sarcophagus,greek_compound,greek,10,Greek 'sarx' (flesh) + 'phagein' (to eat). Made of a limestone that was believed to consume the corpse inside.
100,butterfly,folk_etymology,old_english,20,Old English 'buterfleoge'. The folk theory: yellow butterflies were thought to steal milk and butter from open dairies.
101,admiral,arabic_loanword,Arabic,5,"The highest rank in a navy comes from Arabic 'amir al-bahr' — commander of the sea — but medieval Christian scribes misread the 'al-' as part of the word itself, accidentally fusing the definite article into the title and handing English the word 'admiral' with a phantom letter."
102,mattress,arabic_loanword,Arabic,10,The thing you sleep on traces to Arabic 'al-matrah' — literally 'the place where something is thrown down' — because Arab sleepers threw cushions and carpets on the floor; Crusaders brought the concept and the word back to medieval Europe.
103,elixir,arabic_loanword,Arabic,10,"Alchemists borrowed the Arabic 'al-iksir' — the philosopher's stone — which itself came from Greek 'xerion', a dry powder for healing wounds; what began as a wound-dressing became the legendary substance alchemists believed could transmute lead into gold."
104,musk,arabic_loanword,Sanskrit,10,The luxurious perfume ingredient traces back to Sanskrit 'muska' meaning testicle — because the musk deer's scent gland was thought to resemble a scrotum — then traveled through Persian 'mushk' and Arabic 'misk' before entering every European perfumer's vocabulary.
105,coffee,arabic_loanword,Arabic,5,"The word came from Arabic 'qahwah', possibly meaning wine or linked to the Kaffa region of Ethiopia where the plant originated; it traveled through Turkish 'kahveh' and Dutch 'koffie' to reach English around 1600, long before coffee conquered the West."
106,alchemy,arabic_loanword,Arabic,10,"From Arabic 'al-kimiya', which likely came from a Greek word for Egypt — 'Khem', the Black Land — meaning medieval Islamic scholars preserved and expanded Egyptian and Greek knowledge of transforming matter, and their Arabic article 'al-' is still visible in the English word today."
107,crimson,arabic_loanword,Arabic,10,"The deep red colour traces to Arabic 'qirmizi', from 'qirmiz' — the kermes insect — a tiny scale bug harvested from oak trees whose crushed bodies produced the most vivid red dye in the ancient world, a secret kept by Arab traders who spread the word and the colour across medieval Europe."
108,lute,arabic_loanword,Arabic,10,The Renaissance instrument at the heart of European music is named from Arabic 'al-oud' — literally 'the wood' — because its belly was made of wood rather than the leather used on other Arabic instruments; Moorish musicians carried it into Spain in the 9th century and it conquered every European court.
109,amber,arabic_loanword,Arabic,10,"The word originally meant ambergris — the waxy secretion of sperm whales prized in perfumery — from Arabic 'anbar'; medieval Europeans extended the name to Baltic fossil resin because both washed up on beaches, leaving us with a colour named after a whale's stomach contents."
110,safari,arabic_loanword,Arabic,10,"The word for a wildlife expedition comes from Swahili 'safari', itself borrowed from Arabic 'safar' meaning journey or travel; Arab traders established the word in East Africa centuries before European explorer Richard Burton introduced it to English in the 1850s."
111,talisman,arabic_loanword,Arabic,10,"From Arabic 'tilsam', borrowed from Byzantine Greek 'telesma' meaning 'completion' or 'religious rite'; what began as a Greek word for paying taxes and completing ceremonies became, via Arabic, the English word for a magical protective charm."
112,tycoon,east_asian,japanese,5,"American businessmen borrowed their power title from Japan's shoguns: 'tycoon' entered English in 1857 as taikun (大君, 'great lord'), a term the shogun's court used when speaking to foreigners to make the shogun sound more important than the emperor. By 1861 Lincoln's secretary John Hay was already using it loosely for any powerful man."
113,gung-ho,east_asian,mandarin,5,"U.S. Marine Colonel Evans Carlson borrowed gung-ho from the Mandarin acronym 工合 (gōnghé) for the Chinese Industrial Cooperative Society in the 1930s, reinterpreting it as 'work together' and making it the motto of his elite WWII raider battalion. The 1943 film Gung Ho! about Carlson's Makin Island raid spread the word nationwide, permanently shifting its meaning to reckless enthusiasm."
114,honcho,east_asian,japanese,10,"American GIs stationed in postwar Japan brought home 班長 (hanchō, 'squad leader') in 1947, turning a military rank from the Japanese army into everyday English slang for whoever is in charge."
115,tsunami,east_asian,japanese,5,"English borrowed 津波 (tsu 'harbor' + nami 'wave') from Japanese after the catastrophic June 15, 1896 Meiji Sanriku earthquake wave killed over 22,000 people, because 'tidal wave' was technically wrong — the ocean floor quake, not the tide, caused it."
116,emoji,east_asian,japanese,5,"Shigetaka Kurita, an NTT DoCoMo engineer, coined 絵文字 (e 'picture' + moji 'character') in 1999 to fit tiny weather icons into Japan's i-mode mobile service — the resemblance to English 'emotion' is pure coincidence."
117,rickshaw,east_asian,japanese,10,"Rickshaw is a clipped form of 人力車 (jinrikisha, 'human-power-vehicle'), coined in Japan around 1869–1873; the shortened form arrived in English by 1885 partly through Rudyard Kipling's ghost story 'The Phantom Rickshaw,' where he spelled it 'rickshaw' with an apostrophe showing the dropped syllables."
118,kowtow,east_asian,mandarin,5,"Kowtow entered English in 1804 as a noun for the Chinese ritual of kneeling and touching your forehead to the floor — 磕頭 (kòutóu, literally 'knock head') — and within 22 years English speakers were using it as a verb purely for groveling, never bowing."
119,brainwash,east_asian,mandarin,5,"Brainwash is a Cold War calque: English literally translated the Mandarin 洗腦 (xǐ nǎo, 'wash brain'), a term used to describe thought-reform campaigns in Communist China, first appearing in English in 1950 during the Korean War."
120,tea,east_asian,hokkien,5,"How the world says 'tea' reveals its trade route: countries reached by sea got the Hokkien Amoy dialect word tê (荼) — tea, thé, tee — while overland traders got Mandarin chá — cha, chai, chay. The Dutch East India Company, shipping from Amoy from 1610, handed almost all of Europe the Hokkien version."
121,amok,east_asian,malay,10,"Amok comes from Malay amuk ('attacking furiously'), first recorded in a 1516 account by Duarte Barbosa describing Javanese men who would arm themselves and rush into crowds killing indiscriminately — the Europeans had no word for it, so they borrowed the local one."
122,cooties,east_asian,malay,20,"The playground taunt 'cooties' traces to Malay kutu ('parasitic biting insect') — British sailors picked it up in Southeast Asian ports, soldiers carried it into WWI trenches as slang for body lice in 1917, and somehow it survived a century to become a children's game about imaginary germs."
123,boondocks,east_asian,tagalog,20,"When American soldiers were deployed to the Philippine mountains in the 1910s, they borrowed Tagalog bundok ('mountain') to mean any remote, wild terrain — it re-entered use in WWII and became permanent American slang for the middle of nowhere."
124,yen,east_asian,cantonese,10,"The everyday English 'yen' for a strong craving started as opium-trade slang: from Cantonese yan (煙, craving), first recorded in English in 1876 specifically meaning 'intense opium craving,' then broadening to any deep longing by 1906 — its sound overlap with 'yearn' helped it stick."
125,cardigan,eponym,english,5,"Named after James Thomas Brudenell, 7th Earl of Cardigan (1797–1868), who allegedly wore the knitted jacket while leading the disastrous Charge of the Light Brigade at Balaclava in 1854; the word entered use by 1868."
126,wellington,eponym,english,10,"Named after Arthur Wellesley, 1st Duke of Wellington (1769–1852), victor of Waterloo; the tall rubber boot style bearing his name was documented as early as 1817, following his military fame."
127,shrapnel,eponym,english,10,"Named after General Henry Shrapnel (1761–1842), who invented the exploding shell packed with bullets while serving in the Royal Artillery; first recorded in 1806."
128,bowdlerize,eponym,english,10,"Named after Thomas Bowdler (1754–1825), who published a family-friendly expurgated edition of Shakespeare in 1818; the verb 'to bowdlerize' — meaning to prudishly censor text — appeared by 1836."
129,leotard,eponym,french,10,"Named after Jules Léotard (1830–1870), a celebrated French trapeze artist who performed in the tight one-piece garment; the word entered English in 1881."
130,pasteurize,eponym,french,10,"Named after Louis Pasteur (1822–1895), the French chemist and bacteriologist who developed the heat-treatment process for killing pathogens in milk and wine; the verb is recorded from 1881."
131,galvanize,eponym,italian,10,"Named after Luigi Galvani (1737–1798), an Italian anatomist at Bologna who discovered that electrical current causes muscle contractions while experimenting on dead frogs c. 1792; the English verb appeared in 1801."
132,diesel,eponym,german,10,"Named after Rudolf Diesel (1858–1913), the German engineer who patented and demonstrated his compression-ignition internal combustion engine in 1894."
133,maverick,eponym,english,10,"Named after Samuel A. Maverick (1803–1870), a Texas rancher famously negligent in branding his calves; by 1867 an unbranded calf was called a 'maverick,' and by the 20th century the word described any rugged individualist."
134,dunce,eponym,english,10,"Named after the Scottish scholastic theologian John Duns Scotus (c. 1265–1308), whose devoted followers so obstinately resisted Renaissance learning that Humanists turned 'Dunsman' into a byword for a dull-witted pedant; recorded by the 1520s."
135,quisling,eponym,norwegian,10,"Named after Vidkun Quisling (1887–1945), the Norwegian fascist who headed the Nazi puppet government during the German occupation of Norway in World War II and was executed for treason in 1945; coined in the London Times on April 15, 1940."
136,lynch,eponym,english,10,"Named after William Lynch (1742–1820) of Pittsylvania, Virginia, who c. 1780 led an extrajudicial vigilance committee to punish Loyalists during the American Revolution; 'Lynch law' appeared in print by 1811."
137,gerrymander,eponym,english,10,"Named after Elbridge Gerry (1744–1814), Governor of Massachusetts, who in 1812 signed a redistricting bill creating a bizarrely salamander-shaped district; a Boston newspaper editor coined 'Gerrymander' that same year."
138,algorithm,eponym,arabic,10,"Derived from al-Khwarizmi, the Latinised name of the 9th-century Persian mathematician Muhammad ibn Musa al-Khwarizmi, whose treatises introduced Hindu-Arabic numerals and systematic calculation methods to medieval Europe."
139,braille,eponym,french,10,"Named after Louis Braille (1809–1852), a French teacher who was blinded at age 3 and developed the raised-dot reading system c. 1830; the word entered English in 1853."
140,zeppelin,eponym,german,10,"Named after Count Ferdinand von Zeppelin (1838–1917), the German military officer and aviation pioneer who perfected the rigid airship design; the first Zeppelin flew in 1900 and the word entered German as 'Zeppelinschiff' that year."
141,teddy,eponym,english,10,Named after U.S. President Theodore 'Teddy' Roosevelt (1858–1919); a 1906 New York Times comic poem about two bears named 'Teddy' — alluding to his reputation as a big-game hunter — gave the stuffed toy bear its enduring name.
142,derrick,eponym,english,10,Named after a notorious hangman surnamed Derrick who presided at Tyburn gallows around 1606–1608 and was frequently referenced in contemporary plays; the hoisting apparatus takes its name from the structural resemblance to his gallows.
143,bowie,eponym,english,10,"Named after Colonel James 'Jim' Bowie (1799–1836), the American frontiersman and hero of the Alamo, who popularised the heavy single-edged sheath knife bearing his name; first recorded in 1827."
144,curfew,compound_hidden,french,5,From Old French 'couvre-feu' — literally 'cover the fire.' A bell rung at 8–9 p.m. ordered medieval households to bank their hearths to prevent fires spreading through timber towns; the movement-restriction meaning didn't emerge until the 1800s.
145,tennis,folk_etymology,french,5,"From Anglo-French 'tenetz' — the imperative of 'tenir' (to hold, receive, take). It was the server's cry to the opponent before striking the ball, essentially: 'Here it comes, catch this!' The sport borrowed its name from a shout."
146,mayday,folk_etymology,french,5,From French 'm'aidez' (help me). Chosen at a London meeting of European aircraft manufacturers in 1923 as a radio-telephone distress call — picked because it sounds identical in English and French and couldn't be mistaken for anything routine.
147,gauche,semantic_shift,french,5,From French 'gauche' meaning 'left.' The same word that simply means the left side in French carries the baggage of clumsiness in English — because in most cultures the left hand was associated with awkwardness and bad luck. Entered English in 1751.
148,umbrella,semantic_shift,italian,5,"From Italian 'ombrello,' from Latin 'umbra' (shade, shadow). The umbrella was invented as a sun-shade in the Mediterranean, not a rain-shield — protection from light, not water. Men in England didn't adopt rain umbrellas until around 1750, and were mocked for it."
149,guerrilla,military_roman,spanish,5,"From Spanish 'guerrilla,' literally 'little war' — diminutive of 'guerra' (war), from Germanic roots. Entered English in 1809 during the Peninsular War, when Spanish peasants and shepherds harassed Napoleon's occupying army through ambush and sabotage, inventing the modern concept of irregular warfare."
150,alligator,folk_etymology,spanish,5,"From Spanish 'el lagarto (de Indias)' — 'the lizard of the Indies.' When Spanish conquistadors encountered the creature in the 1560s, they described it as a giant lizard. English sailors and settlers ran the words together: 'el lagarto' → 'alagarto' → 'alligator.'"
151,tawdry,eponym,french,10,"From 'tawdry lace' — a misdivision of 'St Audrey's lace,' cheap ribbons sold at St Audrey's Fair in Ely on October 17th. Saint Audrey (Queen of Northumbria, d. 679) reportedly died of a throat tumor she considered divine punishment for the gaudy necklaces of her youth. Her fair's cheap imitation lace gave English the word for cheap gaudiness."
152,gossamer,compound_hidden,french,10,"Likely from 'gos' (goose) + 'sumer' (summer), c.1300 — the season of late autumn when geese are in season and spider silk floats through the air. Languages across Europe independently coined similar terms: Swedish 'sommartrad' (summer thread), German 'Mädchensommer' (girls' summer). The word for the most delicate thing in nature means 'goose summer.'"
153,chauffeur,industrial,french,10,"From French 'chauffeur' — literally 'stoker' or 'one who heats,' from 'chauffer' (to heat). The title was coined in the era of steam-powered cars, when someone literally had to stoke a boiler to drive. By 1896 it applied to motorcar operators; by 1902 it narrowed to a paid private driver. The word still carries the heat."
154,pedigree,compound_hidden,french,10,From Anglo-French 'pe de gru' / Old French 'pied de grue' — literally 'foot of a crane.' Medieval scribes marked genealogical lines on manuscripts with a forked symbol that resembled branching family lines AND the three-toed footprint of a crane. The word for aristocratic lineage is a bird's footprint.
155,berserk,compound_hidden,old norse,5,"From Old Norse 'berserkr' — most likely 'bear-shirt' (ber = bear, serkr = shirt), referring to Norse warriors who fought clad in animal hides and worked themselves into a trance-like battle fury. The rival theory that it means 'bare-shirt' (fighting without armour) is now considered unlikely by scholars."
156,ransack,compound_hidden,old norse,10,"From Old Norse 'rannsaka' — literally 'to search the house' (rann = house, saka = to seek), originally a legal term for searching premises for stolen goods. English borrowed it with the opposite moral valence: violent plunder rather than lawful inquiry."
157,gun,eponym,old norse,10,"Traced to 'Domina Gunilda' — Lady Gunhilda — a large siege engine recorded in a 1330 Windsor Castle munitions inventory. Small hand-held cannons were nicknamed 'gonne' after her; the name itself is Old Norse Gunnhildr, a compound of gunnr and hildr, both meaning 'war' or 'battle.'"
158,bonfire,compound_hidden,old english,10,"Attested in the 1480s as 'banefire' — literally a fire of bones, used to burn animal or human remains. Samuel Johnson guessed the first syllable came from French 'bon' (good), but the bone-fire etymology is confirmed: mixing a French prefix with the native word 'fire' would have been linguistically anomalous."
159,nostril,compound_hidden,old english,10,"From Old English 'nosþyrl' — literally 'nose-hole' (nosu = nose, þyrel = hole or aperture). The second element 'þyrel' fell out of use as a standalone word and its form was gradually corrupted inside the compound, leaving a word almost nobody recognises as a two-part anatomical description."
160,gossip,semantic_shift,old english,5,"From Old English 'godsibb' — literally 'god-sibling' (god + sibb = relative), meaning a baptismal sponsor or godparent. A godsibb was spiritually bound to your family; by Middle English the word meant a close friend, and by the 1600s it had drifted to mean idle chatter — gossip you'd exchange with those intimate companions."
161,bridal,compound_hidden,old english,5,"From Old English 'brydealu' — literally 'bride-ale,' the drinking feast that marked a wedding (bryd = bride, ealu = ale/feast). After the 1600s, the -ale ending was reanalysed as the common adjectival suffix -al (as in 'funeral'), and the beer-feast origin was completely forgotten."
162,bless,compound_hidden,old english,5,"From Old English 'bletsian,' derived from Proto-Germanic *blodison meaning to hallow or mark with blood (blod = blood). The word originally described a pagan ritual of blood-sprinkling on altars; Old English Bible translators repurposed it to render Latin 'benedicere' (to speak well of), layering a Christian meaning onto a blood-rite."
163,barn,compound_hidden,old english,10,"From Old English 'bereærn' — literally 'barley-house' (bere = barley, ærn = house or storage place). Barley was the dominant crop in Anglo-Saxon England and the barn was specifically its storage building; the word broadened over centuries to mean any agricultural outbuilding."
164,husband,compound_hidden,old norse,10,"From Old Norse 'husbondi' — literally 'house-dweller' or 'one who manages a household' (hus = house, bondi = one who dwells, from bua = to dwell). The word originally meant master of the house and said nothing about marriage; the marital sense narrowed only in later English."
165,world,compound_hidden,old english,10,"From Old English 'woruld,' a Proto-Germanic compound literally meaning 'age of man' (wer = adult male human, the same root still alive in werewolf; ald/eld = age). The word originally meant human life on earth as opposed to the afterlife, before expanding to encompass all of creation."
