id,figure_or_myth,category,origin_culture,priority,hook
20,ganesha's broken tusk,hindu,hindu,15,"When the sage Vyasa needed a scribe to dictate the Mahabharata to, Ganesha agreed on the condition Vyasa never paused; when his stylus broke, Ganesha snapped off his own tusk to keep writing."
21,quetzalcoatl's exile,aztec,aztec,10,"The feathered-serpent god, tricked by the smoking-mirror Tezcatlipoca into drunkenness and incest with his sister, set himself adrift on a raft of serpents into the eastern sea promising to return."
22,huitzilopochtli's birth,aztec,aztec,10,"His mother Coatlicue conceived him from a ball of hummingbird feathers; his sister Coyolxauhqui led their four hundred brothers to kill her, but Huitzilopochtli sprang fully armed from the womb and beheaded his sister, throwing her dismembered body down the temple."
23,nanahuatzin becoming the sun,aztec,aztec,10,"At Teotihuacan, gods needed a sacrifice to become the fifth sun; the wealthy Tecciztecatl hesitated at the fire, but the pustule-covered Nanahuatzin flung himself in and rose as the sun, shaming Tecciztecatl into following as the dimmer moon."
24,xolotl fleeing into mictlan,aztec,aztec,20,"The dog-headed twin of Quetzalcoatl who guided dead souls down through Mictlan's nine layers and, fearing his own sacrifice for the fifth sun, fled the gods by transforming first into a double-stalked maize plant, then a salamander."
25,quetzalcoatl gathering bones from mictlan,aztec,aztec,15,"To create the new humanity, Quetzalcoatl descended to Mictlan and tricked the lord of the dead into surrendering bones of past races; on his way out he stumbled, dropped them, and quail pecked them — which is why humans are different sizes."
26,cú chulainn's gáe bolga,celtic,celtic,10,"The Ulster hero possessed a barbed spear called the gáe bolga that had to be thrown with the foot from a river; once inside a body its thirty barbs opened so it could only be removed by cutting the victim apart. He used it to kill his foster-brother Ferdiad."
27,bran the blessed's cauldron,celtic,celtic,10,"The Welsh giant-king Bran owned a cauldron that revived dead warriors overnight, mute and unable to speak; he gave it as a wedding gift to the king of Ireland and later led an army across the sea to retrieve it, wading through the channel."
28,the morrígan washing armor,celtic,celtic,10,"On the eve of a warrior's death, the Irish triple goddess of war was seen as a washer at a ford, scrubbing his bloodied armor; Cú Chulainn met her on his last morning and knew."
29,lugh at tara,celtic,celtic,15,"The young warrior arrived at the high king's hall in Tara claiming to be a master of every craft; refused as the court already had specialists, he asked if they had anyone master of all crafts at once — and was admitted, becoming the god of skill."
30,blodeuwedd of flowers,celtic,celtic,15,"The wizards Gwydion and Math conjured a wife for the cursed Lleu from the blossoms of oak, broom, and meadowsweet; she betrayed him with another man and was punished by being turned into an owl, hated by all other birds."
31,inanna's descent,mesopotamian,mesopotamian,10,"The Sumerian queen of heaven descended through seven gates of the underworld, surrendering an item of power at each, to confront her sister Ereshkigal — and was hung as a corpse on a hook for three days."
32,gilgamesh and the flower of youth,mesopotamian,mesopotamian,10,"After his friend Enkidu's death, Gilgamesh sought immortality, was given a thorny plant of youth from the seabed by the flood-survivor Utnapishtim, and lost it to a serpent that stole it while he bathed."
33,marduk vs tiamat,mesopotamian,mesopotamian,10,"The Babylonian storm-god Marduk faced the primordial sea-dragon Tiamat in single combat, caught her in a net of the four winds, shot an arrow down her open mouth, and split her body to form the heavens and the earth."
34,enkidu and shamhat,mesopotamian,mesopotamian,15,"To tame the wild man Enkidu created from clay, the gods sent the priestess Shamhat to lie with him for six days and seven nights at a watering hole; afterward the animals fled him and he became human, civilized but mortal."
35,ereshkigal and nergal,mesopotamian,mesopotamian,20,"When the war-god Nergal failed to stand for the underworld queen Ereshkigal's messenger, he descended to apologize, ended up sharing her bed for seven days, fled, was hunted down, and made co-ruler of the dead beside her."
36,oshun saving the world,west_african,yoruba,10,"When the male orisha refused to include her in their work of creating the world, Oshun the river goddess withheld her cooling waters; the world dried, no plan succeeded, and the gods came begging her back — she returned as a peacock and a vulture, and creation resumed."
37,anansi and the box of stories,west_african,ashanti,10,"The spider trickster bargained with the sky god Nyame for all the world's stories by capturing four impossible creatures — the hornets, the python, the leopard, and the fairy Mmoatia — using a calabash, a long stick, a pitfall trap, and a doll smeared in latex."
38,shango's double axe,west_african,yoruba,10,"The fourth Alaafin of Oyo, deified as the orisha of thunder, lost a contest of magic and hanged himself in shame; his followers insisted he had not hanged but ascended, and from then on his double-bladed axe falls from storm clouds as lightning."
39,obatala creating humans,west_african,yoruba,15,"Sent by Olodumare to shape humans from clay, Obatala drank palm wine partway through and molded the malformed — those with crooked limbs and blind eyes; sobering up, he swore off palm wine forever and became patron of those he had marred."
40,oya guarding the cemetery gate,west_african,yoruba,20,"The orisha of winds, lightning, and the threshold of death stands at the cemetery gate as the nine-skirted whirlwind, ushering the dead through and stripping any spirit unwilling to leave the world of the living."
41,amaterasu in the cave,japanese,japanese,10,"After her brother Susanoo flayed a sacred horse and threw it into her weaving hall, the sun goddess Amaterasu hid in the heavenly cave Ame-no-Iwato; the world went dark until the gods staged a raucous dance and a mirror outside drew her curious back out."
42,susanoo and the eight-headed serpent,japanese,japanese,10,"Exiled from heaven, the storm god Susanoo found a weeping family in Izumo whose daughter was next sacrifice to the eight-headed serpent Yamata-no-Orochi; he filled eight tubs with sake, got each head drunk, beheaded them, and pulled the sword Kusanagi from the serpent's tail."
43,izanagi and izanami at yomi,japanese,japanese,10,"After his wife Izanami died birthing the fire god, Izanagi descended to the underworld Yomi to retrieve her; she begged him not to look, but he lit a torch and saw her rotting corpse, fled, and sealed Yomi with a great stone — and she promised to take a thousand lives a day."
44,tsukuyomi killing uke mochi,japanese,japanese,15,"Sent by Amaterasu to dine with the food goddess Uke Mochi, the moon god Tsukuyomi was so disgusted to see her produce food from her mouth, nose, and rectum that he killed her — splitting the sun and moon into separate skies forever."
45,momotaro from the peach,japanese,japanese,15,"An old woman pulled a giant peach from the river; cut open it held a boy who grew up to sail to Onigashima, the island of ogres, with a talking dog, monkey, and pheasant — paid in millet dumplings — and won back the village's stolen treasure."
46,baba yaga's hut,slavic,slavic,10,"The iron-toothed witch of the Russian forest lives in a hut that stands on chicken legs and turns to face new arrivals; she travels in a mortar with a pestle for an oar and a broom of birch to sweep away her tracks."
47,koschei the deathless,slavic,slavic,10,"To make himself immortal the wizard Koschei hid his death inside a needle, inside an egg, inside a duck, inside a hare, inside an iron chest, buried under a green oak on the island of Buyan; only by finding and breaking the needle could a hero kill him."
48,perun vs veles,slavic,slavic,10,"The Slavic thunder god Perun, atop the world-oak, hurled lightning down at the serpent god Veles, who kept stealing his cattle and family up the trunk; the storms of summer were their cyclical battle, and each spring Veles returned."
49,morana drowning,slavic,slavic,15,"At the end of winter villagers wove a straw effigy of the death-goddess Morana, dressed her in old clothes, paraded her through the village, then drowned or burned her in the river to drive winter from the land."
50,rusalki of the river,slavic,slavic,15,"The spirits of drowned young women who rise from rivers and lakes in early summer, comb their long green hair on the banks, and lure passing men into the water; offerings of linen left in trees keep them ashore through Rusalka Week."
51,cipactli and the lost foot of tezcatlipoca,aztec,aztec,10,"In the void before the world existed, Tezcatlipoca dangled his foot into the primordial sea to lure the great earth-crocodile Cipactli to the surface; she lunged and bit it off at the ankle, and from that moment his left foot was replaced forever by a polished obsidian mirror. He and Quetzalcoatl then seized Cipactli, tore her body in two, and from her skin, hair, eyes, and mouth shaped the mountains, rivers, and caves of the living world."
52,coatlicue's featherball pregnancy at coatepec,aztec,aztec,10,"While sweeping the shrine atop Snake Mountain (Coatepec), the goddess Coatlicue tucked a drifting ball of hummingbird feathers into her belt and found herself miraculously pregnant. Her daughter Coyolxauhqui and her four hundred star-sons took this as a dishonor and marched up the mountain to kill her — but Huitzilopochtli burst fully armed from the womb, wielded the Fire Serpent (xiuhcoatl), and drove them back before a single blow could land."
53,coyolxauhqui dismembered at coatepec,aztec,aztec,10,"Coyolxauhqui — 'She Painted with Bells,' golden coyolli bells on each cheek — led her four hundred brothers up Coatepec to kill their mother Coatlicue, but the newborn Huitzilopochtli met her at the summit with his solar xiuhcoatl and chopped her to pieces, hurling the chunks down the mountainside; her severed head flew upward and became the moon, her dismembered body commemorated in the giant stone disk placed at the foot of the Templo Mayor around 1473 CE."
54,tezcatlipoca ixiptla: the god who breaks his flutes,aztec,aztec,10,"Each year during the Toxcatl festival a handsome war captive was chosen to live as Tezcatlipoca's earthly double for twelve months — playing a flute through the streets, receiving the bows of the people, attended by four goddess-consorts — and on the final day he climbed the temple steps alone, snapping one flute on each step until he reached the top and was opened for sacrifice, the broken instruments marking every foot of his descent from god to offering."
55,tezcatlipoca's smoking mirror at tula,aztec,aztec,10,"Tezcatlipoca descended from the sky on a rope of spider silk and visited the priest-king Quetzalcoatl at Tula, carrying a mirror wrapped in cotton; when Quetzalcoatl looked into the dark obsidian surface and saw a human face staring back, he wept — proof that his fate was mortal, not divine — and Tezcatlipoca's two-faced mirror had once again shown a man the truth he could not bear."
56,tezcatlipoca steals xochiquetzal from tlaloc,aztec,aztec,10,"Tlaloc's wife Xochiquetzal — flower goddess of love and weaving — lived in the western paradise of Tamoanchan with her son Cintéotl, but Tezcatlipoca coveted her and seized her outright, dragging her to his cold northern kingdom; the rain god was left without his consort and the world without its chief rain-season goddess until he took a second wife, Chalchiuhtlicue."
57,tlaloc's four jars and the rain that destroys,aztec,aztec,10,"On the summit of Mount Tlaloc stood four sacred pitchers tended by the tlaloque, Tlaloc's rain-servants: one poured the good rains that brought a full harvest, but from the other three the rain god could unleash frost, rot, or scorching drought — and when the tlaloque wanted thunder they beat the jars with sticks so the sound cracked across the mountains."
58,xipe totec's golden clothes: priests in rotting skin,aztec,aztec,10,"At the Tlacaxipehualiztli spring festival, war captives were sacrificed and their skins dyed gold and called teocuitlaquemitl — 'divine golden robes' — then draped over priests who wore them for twenty days while the hide decayed around them, enacting the metaphor of Xipe Totec himself: the earth god who must shed one outer layer so new growth can push through, just as a maize seed bursts its hull to germinate."
59,mictlan: the nine obstacles and the xolo dog,aztec,aztec,10,"The Aztec dead had to navigate nine levels of Mictlan over four years — crossing a wide river only with the help of a red or yellow Xoloitzcuintli dog, then passing through mountains that crushed together, a hill of obsidian, winds of razor flint, a field where invisible arrows shot at travelers, and a place where jaguars ate hearts — until they finally reached the ninth level and Mictlantecuhtli himself, who consumed them."
60,mictlantecuhtli's false conch shell trick,aztec,aztec,10,"When Quetzalcoatl descended into Mictlan to retrieve the bones of the previous human race, Mictlantecuhtli agreed to release them only if the god could circle the underworld four times blowing a conch-shell trumpet — but he handed Quetzalcoatl a shell with no holes; Quetzalcoatl had worms bore openings into it and packed bees inside so their buzzing made the required sound, then escaped with the bones to create humanity."
61,mayahuel and the tzitzimitl grandmother,aztec,aztec,10,"The wind god Ehecatl-Quetzalcoatl slipped into heaven while Mayahuel's grandmother — a demon-star tzitzimitl — was sleeping, and persuaded the maguey goddess to flee to earth with him; they transformed into two interlocking sacred trees (Quetzalcoatl a Plumed Willow, Mayahuel a Flower Tree), but the grandmother woke, descended with her demon kin, ripped apart the Flower Tree, and fed Mayahuel's branches to her followers; Ehecatl collected the remaining bones, buried them, and the first maguey plant grew from the soil."
62,ehecatl blows the fifth sun into motion,aztec,aztec,10,"After Nanahuatzin and Tecuciztecatl leapt into the sacrificial fire at Teotihuacan and became the sun and moon, both hung immobile in the sky; Ehecatl the Wind god drew breath and blew with such force that the sun lurched into its path across the heavens, and then, at a second great gust, the moon began to move too — though at a different rate, the two forever crossing and passing each other, driven by that first divine breath."
63,tlazolteotl: the once-in-a-lifetime confession,aztec,aztec,10,"The goddess Tlazolteotl — Tlaelcuani, Eater of Filth — was both the cause and the cure of sin: she could stoke a person's lust and then, in the neyolmehualiztli ritual, consume everything they confessed; a penitent knelt once in their lifetime before her priest, bringing reed mat, firewood, and copal incense, and recited every act of imbalance, which Tlazolteotl swallowed as literal filth, leaving the person cleaned of what could not otherwise be undone."
64,tlaltecuhtli's body becomes the world,aztec,aztec,10,"Tezcatlipoca and Quetzalcoatl transformed into giant serpents, plunged into the primordial sea, and seized Tlaltecuhtli — the crocodile-skinned earth monster with gnashing mouths at her elbows and knees — each taking opposite limbs; with a single heave they tore her in two, one half becoming the land beneath and the other flung upward to become the sky, and from her skin sprang grasses, from her hair trees, from her eyes springs, from her shoulders mountains."
65,stone of fál,celtic,celtic,10,"From the city of Falias, the Tuatha Dé Danann brought the Stone of Fál to Tara; it roared aloud beneath every true king of Ireland, its cry confirming legitimate sovereignty. (Irish Mythological Cycle / Lebor Gabála Érenn)"
66,spear of lugh,celtic,celtic,10,"Brought from the city of Gorias, Lugh's spear Gáe Assail was so fierce it had to be kept in a cauldron of water between battles lest it burn everything around it; no battle was ever sustained against the man who held it. (Irish Mythological Cycle / Cath Maige Tuired)"
67,sword of nuada,celtic,celtic,10,"Brought from Findias, the Sword of Nuada was drawn from its deadly sheath and no one ever escaped it once unsheathed; it represented the inescapable lethal authority of the divine king. (Irish Mythological Cycle / Lebor Gabála Érenn)"
68,cauldron of the dagda,celtic,celtic,10,"Brought from Murias, the Dagda's cauldron fed every member of his host without leaving anyone unsatisfied; no company ever went away from it with cause for complaint, making hunger itself subject to divine will. (Irish Mythological Cycle / Lebor Gabála Érenn)"
69,dagda's club,celtic,celtic,10,"The Dagda's club (Lorg Mór) was so heavy it required wheels to move; dragged across the land it carved furrows used as provincial boundaries, and with one end it killed nine men at once while the other end brought the dead back to life. (Irish Mythological Cycle / Cath Maige Tuired)"
70,dagda's harp uaithne,celtic,celtic,10,"The Dagda's harp Úaithne (also called Daur Dá Bláo) could play three tunes compelling listeners to sleep, to laugh, or to grieve; the Fomorians stole it during the Second Battle but the Dagda summoned it back, and it killed nine men on the wall as it flew to him. (Irish Mythological Cycle / Cath Maige Tuired)"
71,nuada's silver hand,celtic,celtic,10,"After losing his arm at the First Battle of Mag Tuired, King Nuada of the Tuatha Dé Danann was fitted with a fully articulated silver hand by the divine physician Dian Cécht — but kingship required wholeness, so he was displaced until Dian Cécht's son Miach grew him a real arm, earning Dian Cécht's fatal jealousy. (Irish Mythological Cycle)"
72,lugh kills balor at mag tuired,celtic,celtic,10,"At the Second Battle of Mag Tuired, when Balor's single eye was being lifted open to destroy the Tuatha Dé host, Lugh cast a sling stone through it so that the eye went out through the back of Balor's head, and twenty-seven Fomorians died when his body fell upon them. (Irish Mythological Cycle / Cath Maige Tuired, CELT T300010)"
73,étaín transformed into a fly by fuamnach,celtic,celtic,10,"Fuamnach struck Étaín with a rod of scarlet quicken-tree, first turning her into a pool of water, then a worm, then a radiant purple fly whose wing-hum was sweeter than pipes and harps; when Midir recognized and cherished the fly, Fuamnach conjured magical winds that scattered her across Ireland for seven years. (Irish Mythological Cycle / Tochmarc Étaíne, CELT T300012)"
74,midir's chess game with eochaid,celtic,celtic,10,"Midir challenged King Eochaid to repeated chess matches with escalating stakes until he won the right to place his arms around Étaín and kiss her; when he arrived to collect, he seized her under his right arm and bore her through the skylight of Tara as two swans flying toward his elfmound. (Irish Mythological Cycle / Tochmarc Étaíne Part 3)"
75,children of lir final transformation,celtic,celtic,10,"After 900 years as swans — 300 on Loch Dairbreach, 300 on the Sea of Moyle, 300 at Iorrus Domhnann — Lairgnen seized the birds from the altar and their feathery coats fell away, revealing three withered old men and a lean old woman; they received baptism and died within moments. (Irish Mythological Cycle / Oidhe Chloinne Lir)"
76,fionn mac cumhaill and the salmon of knowledge,celtic,celtic,10,"The poet Finnéces spent seven years watching the Salmon of Féc's Pool, prophesied to grant him all knowledge; when his apprentice Demne accidentally burned his thumb on the cooking fish and put it to his mouth, the salmon's wisdom transferred to him instead, and Finnéces recognized him as Fionn, the destined one. (Irish Fenian Cycle / Macgnímartha Finn, CELT T303023)"
77,setanta kills culann's hound,celtic,celtic,10,"The boy Sétanta arrived late at the smith Culann's feast and was attacked by Culann's ferocious guard dog — so fierce it required three chains and nine warriors to hold — and killed it with his bare hands; to atone, he offered to guard Culann's cattle himself, earning the name Cú Chulainn, 'Hound of Culann.' (Irish Ulster Cycle)"
78,cú chulainn's riastrad,celtic,celtic,10,"In battle frenzy Cú Chulainn underwent the riastrad (warp-spasm): his body warped, parts shifted about, his crown spurted columns of dark blood, and the lón láith — a great light — shone from his forehead, transforming him into an unrecognizable engine of destruction. (Irish Ulster Cycle / Táin Bó Cúailnge)"
79,medb and ailill's pillow talk,celtic,celtic,10,"The Táin Bó Cúailnge opens in bed at Cruachan when Medb and Ailill compare their wealth; Medb discovers Ailill's white-horned bull Finnbennach — formerly one of her own cows' calves — outweighs everything she owns, and she resolves to seize the Brown Bull of Cooley to match it. (Irish Ulster Cycle / Táin Bó Cúailnge)"
80,cú chulainn at the ford against ferdiad,celtic,celtic,10,"Ferdiad, Cú Chulainn's sworn brother trained together under Scáthach, was manipulated by Medb into fighting his closest friend; their three-day combat at the ford ended only when Cú Chulainn drove the Gáe Bulga through Ferdiad's horn-covered body, weeping over him as he died. (Irish Ulster Cycle / Táin Bó Cúailnge, CELT T301035)"
81,scáthach training cú chulainn,celtic,celtic,10,"On the Isle of Skye at her fortress Dún Scáith, the warrior-woman Scáthach trained Cú Chulainn for a year in pole-vaulting, underwater combat, and the gáe bolg — a barbed harpoon of her own invention that created thirty internal wounds on striking — the weapon he would later use to kill Ferdiad. (Irish Ulster Cycle / Tochmarc Emire, CELT T301021)"
82,deirdre of the sorrows,celtic,celtic,10,"At her birth the druid Cathbad prophesied that Deirdre would cause the ruin of Ulster; raised in seclusion for King Conchobar, she instead eloped to Scotland with Naoise son of Uisniu; lured back by Conchobar's false safe-conduct, Naoise was slain, and Deirdre dashed her head against a rock rather than submit. (Irish Ulster Cycle / Longes Mac n-Uislenn)"
83,diarmuid and gráinne's flight,celtic,celtic,10,"At her own wedding feast Gráinne laid a geis (binding obligation) on Diarmuid Ó Duibhne compelling him to flee with her, pursued by her betrothed Fionn mac Cumhaill across Ireland for sixteen years; Diarmuid's death finally came on Beann Gulbain when a magic boar — secretly his own transformed foster-brother — fatally gored him. (Irish Fenian Cycle / Tóruigheacht Dhiarmada agus Ghráinne)"
84,oisín's return from tír na nóg,celtic,celtic,10,"Oisín son of Fionn had lived with the fairy princess Niamh in Tír na nÓg, land of eternal youth; when he returned to Ireland 300 years had passed, and the moment his foot touched the ground — his horse stumbling — he withered instantly into a blind, decrepit old man. (Irish Fenian Cycle)"
85,cormac mac airt's silver branch,celtic,celtic,10,"A warrior appeared at dawn before King Cormac mac Airt on Tara's rampart with a branch of silver bearing three golden apples; shaken, it produced music so sweet that wounded men, women in childbirth, and the sick fell asleep, and Cormac surrendered his wife, son, and daughter to obtain it. (Irish Mythological Cycle / Echtra Cormaic i Tír Tairngirí)"
86,cú roí mac dáire and the beheading game,celtic,celtic,10,"In Bricriu's Feast, a giant challenged Ulster's heroes to behead him and then receive a return blow; only Cú Chulainn kept his bargain, laying his neck on the block — whereupon the giant, revealing himself as the wizard Cú Roí, spared him and proclaimed him the champion of Ulster. (Irish Ulster Cycle / Fled Bricrend, CELT G301022)"
87,pwyll's year disguised as arawn,celtic,celtic,10,"Arawn, king of Annwn the Welsh otherworld, exchanged shapes and kingdoms with Pwyll, Prince of Dyfed, for one year; during that year Pwyll ruled Annwn in Arawn's form and defeated Arawn's rival Hafgan at the ford with a single blow, earning the title Pwyll Pen Annwn — Head of Annwn. (Welsh Mabinogion, First Branch)"
88,rhiannon falsely accused of killing pryderi,celtic,celtic,10,"On the night of her son Pryderi's birth, Rhiannon's ladies-in-waiting smeared her with blood of a puppy and accused her of devouring her child; as punishment she was forced to stand at the gate of Pwyll's court and offer to carry visitors on her back like a horse, the penance lasting until Pryderi was restored. (Welsh Mabinogion, First Branch)"
89,branwen's starling message,celtic,celtic,10,"Reduced to the status of a kitchen scullion in Ireland, Branwen daughter of Llyr tamed a starling, taught it to recognize her brother Brân the Blessed, and sent it across the sea bearing a letter tied to its wing — the message that brought Brân's fleet of warships to Ireland to rescue her. (Welsh Mabinogion, Second Branch / Branwen ferch Llyr)"
90,math fab mathonwy's animal transformation punishment,celtic,celtic,10,"After Gilfaethwy raped Math's virgin foot-holder Goewin while Gwydion created a false war as distraction, Math punished both brothers by transforming them into a mated pair of deer, then wolves, then boars — each year they swapped genders and produced a child — before being restored to human form. (Welsh Mabinogion, Fourth Branch / Math fab Mathonwy)"
91,lleu llaw gyffes triple death,celtic,celtic,10,"Cursed by his mother Aranrhod never to receive a name, arms, or a human wife, Lleu was given the flower-woman Blodeuedd; she and her lover Gronw Pebyr discovered that Lleu could only be killed standing with one foot on a bath rim and the other on a goat's back — Gronw struck him with a spear in that exact posture, but Lleu flew off as an eagle and was healed by Gwydion. (Welsh Mabinogion, Fourth Branch)"
92,ceridwen's cauldron and taliesin's birth,celtic,celtic,10,"Ceridwen brewed a cauldron of inspiration (awen) for a year and a day to gift knowledge to her ugly son; the servant boy Gwion Bach accidentally tasted three drops, gaining all wisdom; she chased him through a sequence of animal transformations until she swallowed him as a grain of wheat and gave birth to him as Taliesin, chief bard of the island of Britain. (Welsh / Hanes Taliesin)"
93,atum on the ben-ben,egyptian,egyptian,10,"Before anything existed, the self-created god Atum stood alone on the ben-ben, the primordial mound rising from the watery chaos of Nun; through the agency of his own magic he mated with his shadow and spat out Shu (air) and vomited Tefnut (moisture), becoming the first act of creation in the Heliopolitan tradition."
94,shu separating nut and geb,egyptian,egyptian,10,"Atum was enraged to find his grandchildren Geb (earth) and Nut (sky) locked in an inseparable embrace, so he commanded Shu, god of air, to thrust his arms between them — Shu lifted Nut high into the heavens and held her arched body above Geb forever, creating the space in which all life could exist."
95,thoth gambling five days from the moon,egyptian,egyptian,10,"When Ra cursed Nut so she could not give birth on any day of the year, Thoth challenged the moon god Iah to a game of dice and won five extra days of moonlight, converting them into days outside the official calendar — on those five intercalary days Nut gave birth to Osiris, Horus the Elder, Set, Isis, and Nephthys."
96,set's coffin banquet trap,egyptian,egyptian,10,"Set threw a lavish banquet and unveiled a magnificent decorated chest, promising it to whoever could fit perfectly inside; one by one the guests tried and failed until Osiris lay down and fit exactly — Set slammed the lid shut, sealed it with lead, and threw it into the Nile, drowning his brother and seizing the throne of Egypt."
97,isis at byblos — the tamarisk pillar,egyptian,egyptian,10,"Osiris's sealed coffin drifted to Byblos and became entombed inside a tamarisk tree that grew around it; the king of Byblos cut the fragrant tree down as a palace pillar, unaware his dead god was inside — Isis, disguised as an old woman, infiltrated the royal household as nursemaid and eventually revealed herself, claiming the pillar and her husband's body."
98,set dismembering osiris — fourteen pieces,egyptian,egyptian,10,"When Set discovered that Isis had recovered Osiris's coffin from Byblos, he seized the body in a rage, hacked it into fourteen pieces, and scattered them across Egypt and into the Nile — Isis and Nephthys then searched the entire land, recovering every fragment except the phallus, which had been swallowed by an oxyrhynchus fish."
99,isis conceiving horus as a kite,egyptian,egyptian,10,"After Anubis embalmed the reassembled body of Osiris — creating the first mummy — Isis transformed herself into a kite-bird, hovered over the mummy with her wings fanning breath into him, drew his seed into her body, and conceived Horus, heir to the throne, before Osiris descended permanently to rule the underworld."
100,anubis inventing embalming,egyptian,egyptian,10,"After the scattered pieces of Osiris were recovered, Anubis — the jackal-headed god who prowled cemeteries — performed the first act of embalming: he anointed, wrapped, and bandaged the reassembled body, inventing the mummification rites that every Egyptian hoped would be repeated for themselves at death."
101,hathor exposes herself to ra,egyptian,egyptian,10,"During the long tribunal over who should rule Egypt, Ra became so insulted by one of the gods' remarks that he withdrew from the proceedings entirely and lay in sullen silence; Hathor, Lady of the Southern Sycamore, approached her father and lifted her garments to expose herself — Ra burst out laughing, rose immediately, and the cosmic council resumed."
102,sekhmet's rampage and the red beer,egyptian,egyptian,10,"Ra unleashed his Eye as the lioness Sekhmet to punish humans for plotting against him, but she slaughtered so indiscriminately that Ra regretted the command; he flooded the plains at Dendera with 7,000 jars of beer dyed red with ochre from Elephantine — Sekhmet mistook it for blood, drank herself insensible, and woke as the gentle Hathor, ending the massacre."
103,isis disguise before set — the legal trick,egyptian,egyptian,10,"During the 80-year tribunal of the Contendings, Isis disguised herself as a beautiful widow and approached Set outside his palace, telling him that a stranger had stolen her son's cattle after her husband died — Set declared that the stranger deserved death, unknowingly condemning his own actions; the Ennead declared Isis had made Set judge himself out of his own mouth."
104,horus losing and recovering his eye,egyptian,egyptian,10,"During their great battle, Set tore out Horus's left eye and shattered it into pieces; Thoth retrieved every fragment, healed the eye with his magic, and restored it to Horus as the wedjat — the 'whole' eye — which became the symbol of restored health, and the phases of the moon were explained as the cyclical wounding and healing of that sacred eye."
